title,year,director,tmdb_id,poster_path,matched_title,matched_year,original_language,reason
Samrat Prithviraj,2022,Chandraprakash Dwivedi,611598,/itjop20yizH1cwB44tIo5JivPSq.jpg,Samrat Prithviraj,2022,hi,
Rashtra Kavach Om,2022,Kapil Verma,764928,/kBZEDW004FLzPTdBpko6Qf4lACJ.jpg,Rashtra Kavach Om,2022,hi,
Salaar: Part 1 - Ceasefire (Hindi),2023,Prashanth Neel,,,,,,NO_RESULTS
Tu Jhoothi Main Makkaar,2023,Luv Ranjan,611359,/zHLtNP4KP0GMi6p1ACf2QvVnBvI.jpg,Tu Jhoothi Main Makkaar,2023,hi,
The Kerala Story,2023,Sudipto Sen,1117411,/g70f3hwn5jPaNzqPssoa9unlawo.jpg,The Kerala Story,2023,hi,
Bholaa,2023,Ajay Devgn,965606,/chmbRa3tKFq1KNMoyuU8Vf5hlke.jpg,Bholaa,2023,hi,
Adipurush,2023,Om Raut,734253,/1H2xEZOixs0z0JKwyjANZiKNNVJ.jpg,Adipurush,2023,hi,
OMG 2,2023,Amit Rai,888710,/kApiO3oL6t100aCtkcwEhk2kqgK.jpg,OMG 2,2023,hi,
Kisi Ka Bhai Kisi Ki Jaan,2023,Farhad Samji,966719,/yJ2JqgfWniQLnXPM5WkM7f1rqaY.jpg,Kisi Ka Bhai... Kisi Ki Jaan,2023,hi,
Mission Raniganj,2023,Tinu Suresh Desai,1131409,/3804yFLTPlMqG6Jxsm20aqcFEfU.jpg,Mission Raniganj,2023,hi,
Fighter,2024,Siddharth Anand,784651,/zqFuriKJ6pYDvf72kXNLONnuE8k.jpg,Fighter,2024,hi,
Maidaan,2024,Amit Ravindernath Sharma,668340,/eKbAVKQf6choCfasNWuYoSTOPBP.jpg,Maidaan,2024,hi,
Bade Miyan Chote Miyan,2024,Ali Abbas Zafar,936622,/ote8HmQOgmoAfqFaqVKsEdgD2q4.jpg,Bade Miyan Chote Miyan,2024,hi,
Kalki 2898 AD (Hindi),2024,Nag Ashwin,801688,/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg,Kalki 2898-AD,2024,te,
Pushpa 2: The Rule (Hindi),2024,Sukumar,,,,,,NO_RESULTS
Sky Force,2024,Abhishek Anil Kapur,,,,,,NO_RESULTS
Devara: Part 1 (Hindi),2024,Koratala Siva,,,,,,NO_RESULTS
Yodha,2024,Sagar Ambre,899718,/rkCRwuWgrkGTya4vLqwFugwSqeh.jpg,Yodha,2024,hi,
Auron Mein Kahan Dum Tha,2024,Neeraj Pandey,1083590,/cKvom4C6fGIM1sOKINkBi7oCqok.jpg,Auron Mein Kahan Dum Tha,2024,hi,
Khel Khel Mein,2024,Mudassar Aziz,1241592,/32P0oQf41HXbENRGtu2h0rqBF2k.jpg,Khel Khel Mein,2024,hi,
Vedaa,2024,Nikkhil Advani,1148486,/wK0p210TWMH4P3isT1bI0FVEuZ9.jpg,Vedaa,2024,hi,
Jigra,2024,Vasan Bala,1184889,/mhnT27mgtiMNowOhAlMWSqBoSyb.jpg,Jigra,2024,hi,
Bhool Bhulaiyaa 3,2024,Anees Bazmee,980599,/3AfHD1HoaQpQwKH8kxRdBKVmzeU.jpg,Bhool Bhulaiyaa 3,2024,hi,
Lucky Baskhar (Hindi),2024,Venky Atluri,,,,,,NO_RESULTS
Vicky Vidya Ka Woh Wala Video,2024,Raaj Shaandilyaa,1213712,/77gbFuFUfXx3OWv6pGhOAfHMBpg.jpg,Vicky Vidya Ka Woh Wala Video,2024,hi,
Deva,2024,Rosshan Andrrews,1337415,/gvBxyJrA10beYmU7hgzqShVpVck.jpg,Talvez Eu Deva Falar,2024,pt,
Game Changer (Hindi),2024,Shankar,,,,,,NO_RESULTS
Baby John,2024,A. Kaleeswaran,1083241,/5Oqsh17dq0cIRFPynPNy5elmyxW.jpg,Baby John,2024,hi,
Do Deewane Sehar Mein,2026,Ravi Udyawar,,,,,,NO_RESULTS
Dhamaal 4,2026,Indra Kumar,1303331,,Dhamaal 4,2026,hi,
Ramayana: Part One,2026,Nitesh Tiwari,,,,,,NO_RESULTS
Mirzapur – The Film,2026,TBC,,,,,,NO_RESULTS
Gabru,2026,,,,,,,NO_RESULTS
Vvan — Force of the Forrest,2026,,,,,,,NO_RESULTS
Chand Mera Dil,2026,,1371023,/9LPkXJustudEBgPZEm9tgDx5KtC.jpg,Chand Mera Dil,2026,hi,
Main Vaapas Aaunga,2026,,1431068,/qVoRgy52uGlvEESuLuSLdlojk74.jpg,Main Vaapas Aaunga,2026,hi,
Raftaar,2026,,1479690,/srvDYDyaYTh27ObUvOcggyT1ZGn.jpg,RaftaaR,2026,hi,
Lahore 1947,2026,,,,,,,NO_RESULTS
Khosla Ka Ghosla 2,2026,,1520508,/9cMcSUFYAKHNpOyHlwS77SMK7Y6.jpg,Khosla Ka Ghosla 2,2026,hi,
Dil,1990,Indra Kumar,65683,/aecBFir2aF59MOflpYimaFu7hnI.jpg,Dil,1990,hi,
Ashiqui,1990,Mahesh Bhatt,,,,,,NO_RESULTS
Ghayal,1990,Rajkumar Santoshi,71308,/r8n2JqfyxoL1qBEp8JnnyiFg2fU.jpg,Ghayal,1990,hi,
Awaargi,1990,J. P. Dutta,345141,/aWUbrlwErgcEfHp3zezjEIVbkzK.jpg,Awaargi,1990,hi,
Kishen Kanhaiya,1990,Rakesh Roshan,125297,/vcQyjd0jWT2VOImJRJIssajfOUz.jpg,Kishen Kanhaiya,1990,hi,
Saajan,1991,Lawrence D'Souza,107745,/wg4WBjFhYZeLaaQhE3NeFyfTn2Y.jpg,Saajan,1991,hi,
Hum,1991,Mukul Anand,65954,/blnhL1cIxjjLgNdlDA8tIbvbCCO.jpg,Hum,1991,hi,
Sadak,1991,Mahesh Bhatt,230435,/fFESWq8YQHRrwSJ9K8ThAxlDCx.jpg,Sadak,1991,hi,
Phool Aur Kaante,1991,Kuku Kohli,230437,/lNxSSYUK2RZtTo9rKCyzVq1twzM.jpg,Phool Aur Kaante,1991,hi,
Lamhe,1991,Yash Chopra,64879,/aw9xd5GhQkyaAsTblNi3XydvEcK.jpg,Lamhe,1991,hi,
Jo Jeeta Wohi Sikandar,1991,Mansoor Khan,,,,,,NO_RESULTS
Beta,1992,Indra Kumar,107747,/1RUOf9MCf8PsKxrefcwFqb0JCKL.jpg,Beta,1992,hi,
Khiladi,1992,Abbas-Mustan,161436,/Adar3XOiv7ckSbxnIWgsbb9XNGu.jpg,Khiladi,1992,hi,
Deewana,1992,Raj Kanwar,45001,/8liOcHgcghI3aQFxq8QCGKKqQKX.jpg,Deewana,1992,hi,
Darr,1992,Yash Chopra,1536676,/fEPIlhN0B2aMw0j91NF9uEdFmrm.jpg,A Tribute to Darren Millane,1992,en,
Roja,1992,Mani Ratnam,21463,/1ZHr93dgcJ6jSAYpKISemBmYoIy.jpg,Roja,1992,ta,
Dil Hai Ke Manta Nahin,1992,Mahesh Bhatt,,,,,,NO_RESULTS
Baazigar,1993,Abbas-Mustan,19657,/ndQQ2bTV0JLSRxUBchE4eD3qhDb.jpg,Baazigar,1993,hi,
Khalnayak,1993,Subhash Ghai,32295,/4mKDbADQt7kN1TEwH3ZDGZ29m0i.jpg,Khal Nayak,1993,hi,
Damini,1993,Rajkumar Santoshi,138934,/qHLHZG9aVO2zg3q5k5BIjvaEAsZ.jpg,Damini,1993,hi,
Aankhen,1993,David Dhawan,96147,/zuLd519jDNN4kXOd3m6IIMslXK3.jpg,Aankhen,1993,hi,
Gardish,1993,Priyadarshan,270916,/1lNyncr0NJMp7WFbfdPbkz05ZKc.jpg,Gardish,1993,hi,
Sir,1993,Mahesh Bhatt,171000,/aSGHWL8uQXdLMMsxo5viXHttUJW.jpg,Sir,1993,hi,
Hum Aapke Hain Koun,1994,Sooraj Barjatya,46387,/v5CutZgZgai1if2U2CPssiig7VW.jpg,Hum Aapke Hain Koun..!,1994,hi,
